Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Afghanistan,15.07454639,14.17172125,12.52472036,11.98347037,12.96147624,13.88932554,13.58985661,13.41272205,13.117917,12.94812194,12.44143296,11.82709879,10.84989946,12.55735461,12.82355604,12.0986556,11.27269176,10.56132916,9.265344887,8.220240322,7.912934479,7.394094535,6.846120502,6.897821056,6.661339814,6.384963469,6.26451312,6.095489902
Albania,4.375777269,4.816950355,4.651673609,4.445670923,4.341855161,4.21550322,4.041682419,3.670633741,3.494005395,3.245028832,2.84219536,2.650714348,2.503683192,2.321657395,2.087543625,1.718330986,1.541555649,1.532322331,1.501463945,1.401067215,1.462628704,1.396701407,1.412900515,1.404149498,1.430532635,1.376821541,1.380790194,1.359957364
Algeria,3.72334789,3.558068652,3.436502731,3.338044954,3.369063616,3.275680506,3.202686258,3.224755365,3.120135578,3.008306384,2.829183805,2.655424467,2.489811899,2.25641197,2.162144577,2.060535132,1.967604329,1.881526582,1.795026992,1.709342222,1.631491845,1.575506483,1.506446668,1.488834294,1.477074327,1.432312207,1.350009204,1.258640554
"American Samoa",8.658198423,8.468541356,8.288641857,8.142822127,8.028443003,7.882339256,7.765906357,7.652726852,7.357534501,7.350486016,7.675871355,7.828295894,7.83260849,7.727406855,7.886401204,7.685550063,7.509866326,7.53233507,7.38556783,7.274790085,7.234326517,7.09408485,7.016297824,6.861428231,6.911174571,6.848659113,6.845059241,6.841468997
Andorra,0.954605995,0.935364964,0.973840463,0.889924557,0.866612536,0.842944049,0.858249006,0.790874285,0.768732849,0.748601985,0.732557108,0.715162263,0.730499631,0.685971542,0.678503685,0.665895875,0.65389304,0.645997739,0.63588977,0.627555392,0.615371943,0.598539032,0.589695746,0.578370889,0.567170402,0.552334474,0.551925714,0.550402991
Angola,26.80200767,26.78723289,26.18655727,26.21496347,26.0824634,25.36930076,24.36006082,23.74115953,23.95238765,23.18037091,22.42017473,21.88836494,21.13538379,20.17598442,20.77584742,19.57141898,18.42143343,17.23881825,15.87438245,14.22063343,13.158876,11.88952894,10.97181944,9.932924958,8.961826452,8.435276071,7.673098627,7.110394938
"Antigua and Barbuda",6.927617155,6.799112083,6.653038687,6.510252733,6.14634518,6.00600201,5.836149951,5.635366665,5.54238197,5.310835835,5.120338989,5.110527936,5.112958607,5.079447924,5.091098828,5.123679416,5.10231403,5.129278486,5.200788919,5.138175155,5.228628881,5.265670475,5.267986821,5.323938931,5.210184337,5.002208582,5.013435425,4.943890242
Argentina,3.628467004,3.550322011,3.493296825,3.328255991,3.204162,3.07175694,3.12971752,3.109595664,3.105215094,3.024151703,2.885805384,2.849138042,2.810377013,2.625413775,2.371940168,2.27681701,2.224534105,2.242877075,2.143805003,2.045885506,1.958840183,1.88542104,1.845291485,1.773971468,1.689750259,1.601896354,1.620498331,1.603569461
Armenia,7.522088145,7.775952351,8.880102938,9.893292984,10.15761101,8.882203056,7.499473763,6.588984448,5.821020446,5.019610511,4.579073691,4.142586778,3.706182267,3.268828034,2.847311391,2.522982281,2.115396692,1.995107049,1.862360591,1.853959161,1.884848523,1.816765757,1.806919009,1.703458002,1.644161716,1.637363617,1.581458714,1.584126855
Australia,1.777257124,1.650673913,1.645541527,1.545399192,1.525734204,1.475211419,1.4660284,1.449649076,1.41223552,1.394061115,1.309539785,1.247639194,1.197980231,1.13869379,1.102139468,1.075584515,1.04026115,1.029790931,1.021528191,1.009308792,0.991280997,0.927297047,0.892737457,0.892874361,0.888278993,0.902177187,0.898641995,0.899936188
